,Rank,School,State,Score,Year,8-Event,10-Event
70,71,Grant High School,California,43957,2016,,
71,72,Cedar Rapids Jefferson High School,Iowa,43819.6,2016,,
72,73,Redondo Union High School,California,43737.2,2016,,
73,74,North Penn High School,Pennsylvania,43719.1,2016,,
74,75,Dreher High School,South Carolina,43510,2016,,
75,76,Elsinore High School,California,43457.4,2016,,
76,77,Kamehameha Schools Hawai'i Campus,Hawaii,43239.1,2016,,
77,78,Narbonne High School,California,43236.8,2016,,
78,79,West Valley High School,California,43110.6,2016,,
79,80,Hebron High School,Texas,42701,2016,,
80,81,John Paul II High School,Texas,42648.1,2016,,
81,82,John Marshall High School,Texas,42591.7,2016,,
82,83,BASIS Chandler,Arizona,42573.2,2016,,
83,84,Westwood High School,Arizona,42557.8,2016,,
84,85,Westminster High School,California,42481.6,2016,,
85,86,Pleasant Grove High School,California,42263,2016,,
86,87,Souderton Area High School,Pennsylvania,42260.4,2016,,
87,88,Westlake High School,California,42139,2016,,
88,89,Shanghai Foreign Language School Affiliated to SISU,China,"42,119.7[2]",2016,,
89,90,Frisco High School,Texas,42052.6,2016,,
90,91,Parsippany High School,New Jersey,41984.8,2016,,
91,92,Plano Senior High School,Texas,41963.4,2016,,
92,93,Olympian High School,California,41951.9,2016,,
93,94,West Windsor-Plainsboro High School South,New Jersey,41822.4,2016,,
94,95,Montgomery High School,Texas,41683.9,2016,,
95,96,Cleveland Charter High School,California,41582.9,2016,,
96,97,The Colony High School,Texas,41487.6,2016,,
97,98,Richard King High School,Texas,41485.1,2016,,
98,99,Arlington High School,Texas,41460,2016,,
99,100,Independence High School,Texas,41400.6,2016,,
100,101,Klein Collins High School,Texas,41344.9,2016,,
101,102,Mater Dei High School,California,41288.6,2016,,
102,103,Watertown High School,Wisconsin,"41,255.7[3]",2016,,
103,104,Pasadena Memorial High School,Texas,41224.7,2016,,
104,105,Creekview High School,Texas,41160.8,2016,,
105,106,Reitz Memorial High School,Indiana,41105.4,2016,,
106,107,West Windsor-Plainsboro High School North,New Jersey,41090.7,2016,,
107,108,Oak Park High School,California,41051.2,2016,,
108,109,Willoughby South High School,Ohio,41031.1,2016,,
109,110,Madison Central High School,Mississippi,40985,2016,,
110,111,Bishop Alemany High School,California,40940.1,2016,,
111,112,Mountain View Marana High School,Arizona,40886.4,2016,,
112,113,Taylor High School,Texas,40849.1,2016,,
113,114,South Garland High School,Texas,40750.4,2016,,
114,115,Richardson High School,Texas,40652.2,2016,,
115,116,Moorpark High School,California,40635.5,2016,,
116,117,Tracy High School,California,40632.1,2016,,
117,118,El Paso Coronado High School,Texas,40619.8,2016,,
118,119,Arcadia High School,California,40491.2,2016,,
119,120,Mount Michael Benedictine High School,Nebraska,"40,380[1]",2016,,
120,121,Seneca Valley High School,Pennsylvania,40272.9,2016,,
121,122,New Richmond High School,Wisconsin,"40,142.1[3]",2016,,
122,123,Bingham High School,Utah,40093.1,2016,,
123,124,Oliver Wendell Holmes High School,Texas,40062.9,2016,,
124,125,Boulder Creek High School,Arizona,40013.5,2016,,
125,126,Flower Mound High School,Texas,39822.3,2016,,
126,127,Rancho Cucamonga High School,California,39737.5,2016,,
127,128,Madison Academic High School,Tennessee,"39,723[2]",2016,,
128,129,Heritage High School,Texas,39529.1,2016,,
129,130,West Ranch High School,California,39508.5,2016,,
130,131,Irving High School,Texas,39481.4,2016,,
131,132,North Hollywood High School,California,39431.5,2016,,
132,133,Lincoln High School,California,39327.2,2016,,
133,134,Bandera High School,Texas,39322.5,2016,,
134,135,Tompkins High School,Texas,39313.4,2016,,
135,136,Hamilton High School,California,39262.3,2016,,
136,137,Lowell High School,Indiana,39258.9,2016,,
137,138,Clear Springs High School,Texas,39255.6,2016,,
138,139,Martinsville High School,Indiana,39240.7,2016,,
139,140,Vanden High School,California,39168.9,2016,,
140,141,South Central Calhoun High School,Iowa,39065.9,2016,,
141,142,Champion High School,Texas,38949.9,2016,,
142,143,Sweetwater High School,California,38924,2016,,
143,144,Elkins High School,Texas,38856.6,2016,,
144,145,Sandra Day O'Connor High School,Texas,38788,2016,,
145,146,Hughson High School,California,38770.7,2016,,
146,147,Maryvale High School,Arizona,38614,2016,,
147,148,DaVinci Academy of Science & the Arts,Utah,38538.6,2016,,
148,149,Lakeview-Fort Oglethorpe High School,Georgia,38514.8,2016,,
149,150,Red Mountain High School,Arizona,38489.5,2016,,
150,151,South Grand Prairie High School,Texas,38485.1,2016,,
151,152,Park City High School,Utah,38453.5,2016,,
152,153,El Paso High School,Texas,38348,2016,,
153,154,Edison High School,California,38227.5,2016,,
154,155,Turner College & Career High School,Texas,38167.2,2016,,
155,156,Southwest High School,California,38141.4,2016,,
156,157,Clarion Limestone High School,Pennsylvania,38086.7,2016,,
157,158,St. Peter High School,Minnesota,38053,2016,,
158,159,Beijing National Day School,China,"37,997.0[2]",2016,,
159,160,Cibola High School,Arizona,37991.1,2016,,
160,161,Slinger High School,Wisconsin,"37,989.4[3]",2016,,
161,162,Parkview High School,Georgia,37899,2016,,
162,163,Caddo Parish Magnet High School,Louisiana,37879.7,2016,,
163,164,Wellesley High School,Massachusetts,37829.6,2016,,
164,165,Legacy High School,Texas,37784.7,2016,,
165,166,McDowell High School,Pennsylvania,37773.2,2016,,
166,167,Poteet High School,Texas,37751.2,2016,,
167,168,Rutherford High School,New Jersey,37679.2,2016,,
168,169,Ridge Point High School,Texas,37672.1,2016,,
169,170,Sugar-Salem High School,Idaho,37661.6,2016,,
170,171,Dobson High School,Arizona,37463.8,2016,,
171,172,Merced High School,California,37448.1,2016,,
172,173,BASIS Peoria,Arizona,37424.5,2016,,
173,174,Estacado High School,Texas,37418.9,2016,,
174,175,Alvin High School,Texas,37392.1,2016,,
175,176,St. Pius X High School,New Mexico,"37,337[2]",2016,,
176,177,Guangdong Guangya High School,China,"37,332.3[2]",2016,,
177,178,Ashland High School,Massachusetts,37321.8,2016,,
178,179,WHBC of Wuhan Foreign Languages School,China,"37,269.5[2]",2016,,
179,180,Mountain Ridge High School,Arizona,37167.8,2016,,
180,181,Interior Distance Education of Alaska,Alaska,37108.9,2016,,
181,182,Northside College Preparatory High School,Illinois,37078.4,2016,,
182,183,Sam Houston High School,Texas,36982.9,2016,,
183,184,Johnston High School,Iowa,36931.9,2016,,
184,185,Grundy Center/Dike-New Hartford High School,Iowa,36925,2016,,
185,186,Summerville High School,California,36838.6,2016,,
186,187,Talkington High School,Texas,36554.6,2016,,
187,188,Sandpoint High School,Idaho,36551,2016,,
188,189,Sandra Day O'Connor High School,Arizona,36523.2,2016,,
189,190,Lathrop High School,Alaska,36470.3,2016,,
190,191,Lubbock Coronado High School,Texas,36444.8,2016,,
191,192,Tuloso-Midway High School,Texas,36353.4,2016,,
192,193,Monmouth Academy,Maine,36349,2016,,
193,194,Davis Senior High School,California,36260.5,2016,,
194,195,Kinnelon High School,New Jersey,36227.9,2016,,
195,196,Chengdu Foreign Languages School,China,"36,189.1[2]",2016,,
196,197,Sun Prairie High School,Wisconsin,"36,011.7[3]",2016,,
197,198,West Genesee High School,New York,36000,2016,,
198,199,Scarborough High School,Maine,35987,2016,,
199,200,Blue Valley West High School,Kansas,35813,2016,,
200,201,Green Bay East High School,Wisconsin,"35,798.9[3]",2016,,
201,202,Kingman Academy of Learning,Arizona,35785,2016,,
202,203,Basha High School,Arizona,35653.4,2016,,
203,204,West Valley High School,Alaska,35633,2016,,
204,205,Ketchikan High School,Alaska,35623.6,2016,,
205,206,Berkmar High School,Georgia,35622.4,2016,,
206,207,Bay Port High School,Wisconsin,"35,618.0[3]",2016,,
207,208,Pewaukee High School,Wisconsin,"35,610.0[3]",2016,,
208,209,Ponderosa High School,California,35550.1,2016,,
209,210,Suzhou Academy,China,"35,516.4[2]",2016,,
210,211,George Ranch High School,Texas,35459.2,2016,,
211,212,Seton Catholic High School,Arizona,35448.4,2016,,
212,213,Xavier Charter School,Idaho,35310.5,2016,,
213,214,Penns Valley High School,Pennsylvania,35209.5,2016,,
214,215,Villa Rica High School,Georgia,35052.4,2016,,
215,216,Shanghai High School International Division,China,"35,018.2[2]",2016,,
216,217,Bangor High School,Maine,34987,2016,,
217,218,Copper Hills High School,Utah,34958.3,2016,,
218,219,Carlisle High School,Pennsylvania,34942.6,2016,,
219,220,Buena High School,Arizona,34832,2016,,
220,221,The High School Affiliated to Shanghai Jiao Tong University-IB Center,China,"34,801.5[2]",2016,,
221,222,Lone Peak High School,Utah,34728.9,2016,,
222,223,Hackensack High School,New Jersey,34719.9,2016,,
223,224,Melrose-Mindoro High School,Wisconsin,"34,643.1[3]",2016,,
224,225,Granite Hills High School,California,34577.8,2016,,
225,226,Hanover Park High School,New Jersey,34557.7,2016,,
226,227,Lake Ridge High School,Texas,34497.4,2016,,
227,228,Frontier Academy Charter,Colorado,34479.3,2016,,
228,229,Sunnyside High School,Arizona,34437.2,2016,,
229,230,Magnolia West High School,Texas,34424.7,2016,,
230,231,Shenzhen Middle School,China,"34,398.2[2]",2016,,
231,232,New Berlin Eisenhower High School,Wisconsin,"34,348.0[3]",2016,,
232,233,Higley High School,Arizona,34318.7,2016,,
233,234,Wylie High School,Texas,34303.1,2016,,
234,235,Townview Science & Engineering High School,Texas,34232,2016,,
235,236,Donovan Catholic High School,New Jersey,34142.6,2016,,
236,237,Guangdong Experimental High School,China,"34,128.4[2]",2016,,
237,238,Cedar Rapids Kennedy High School,Iowa,34125.3,2016,,
238,239,Baraboo High School,Wisconsin,"34,037.0[3]",2016,,
239,240,Aubrey High School,Texas,34011.1,2016,,
240,241,St. Johns High School,Arizona,33952,2016,,
241,242,Union High School,Utah,33946.2,2016,,
242,243,Wasatch High School,Utah,33853.8,2016,,
243,244,Gila Ridge High School,Arizona,33840.2,2016,,
244,245,Indian Hills High School,New Jersey,33773.7,2016,,
245,246,Marana High School,Arizona,33667.6,2016,,
246,247,New Tech High School,Texas,33650.4,2016,,
247,248,Alhambra High School,Arizona,33563.8,2016,,
248,249,Green Bay Preble High School,Wisconsin,"33,531.0[3]",2016,,
249,250,Thomas S. Wootton High School,Maryland,33525.1,2016,,
250,251,Shaw High School,Georgia,33379.5,2016,,
251,252,The Affiliated High School of South China Normal University,China,"33,315.2[2]",2016,,
252,253,Iowa Falls-Alden/AGWSR High School,Iowa,33306.7,2016,,
253,254,Riverton High School,Utah,33297.7,2016,,
254,255,Collegiate High School,Texas,33094.5,2016,,
255,256,Jianping High School,China,"32,837.9[2]",2016,,
256,257,Craig High School,Alaska,32797.4,2016,,
257,258,Dowling Catholic High School,Iowa,32792.6,2016,,
258,259,C.E. Byrd High School,Louisiana,32775.3,2016,,
259,260,Upper Lake High School,California,32751.5,2016,,
260,261,Harriton High School,Pennsylvania,32686.6,2016,,
261,262,A.R. Johnson Magnet High School,Georgia,32669.3,2016,,
262,263,Cazenovia High School,New York,32660,2016,,
263,264,Duchesne High School,Utah,32611.6,2016,,
264,265,Trumbull High School,Connecticut,32506.1,2016,,
265,266,Vail Christian Academy,Colorado,32357.6,2016,,
266,267,Dublin High School,California,32333.8,2016,,
267,268,Parsippany Hills High School,New Jersey,32235.8,2016,,
268,269,Marathon High School,Wisconsin,"32,230.8[3]",2016,,
269,270,Williams Field High School,Arizona,32213.5,2016,,
270,271,Mesa High School,Arizona,32095.2,2016,,
271,272,Durand High School,Wisconsin,"32,009.3[3]",2016,,
272,273,Ramapo High School,New Jersey,31964.3,2016,,
273,274,Valdez High School,Alaska,31944.6,2016,,
274,275,A.C. Jones High School,Texas,31930,2016,,
275,276,Seagoville High School,Texas,31847.7,2016,,
276,277,North Clarion High School,Pennsylvania,31811.3,2016,,
277,278,Las Plumas High School,California,31798.4,2016,,
278,279,New Fairfield High School,Connecticut,31742.9,2016,,
279,280,Quincy High School,Massachusetts,31664.9,2016,,
280,281,Benson High School,Arizona,31593.9,2016,,
281,282,Green Bay Southwest High School,Wisconsin,"31,583.0[3]",2016,,
282,283,Hall-Dale High School,Maine,31575,2016,,
283,284,Pittsfield High School,Massachusetts,31542.3,2016,,
284,285,Morgan High School,Utah,31488.4,2016,,
285,286,Union High School,Iowa,31336.2,2016,,
286,287,Mountain Oaks Charter School,California,31263.2,2016,,
287,288,Spirit Lake High School,Iowa,31261.2,2016,,
288,289,Perry High School,Ohio,31146,2016,,
289,290,Franklin High School,Massachusetts,31126,2016,,
290,291,Clifton High School,New Jersey,31112.4,2016,,
291,292,Cedar Rapids Washington High School,Iowa,31059.3,2016,,
292,293,Valley Christian School,Ohio,30946.5,2016,,
293,294,Elk Mound High School,Wisconsin,"30,917.3[3]",2016,,
294,295,Montoursville High School,Pennsylvania,30908,2016,,
295,296,Lake Catholic High School,Ohio,30907.8,2016,,
296,297,Ben Lomond High School,Utah,30897.7,2016,,
297,298,Desert Ridge High School,Arizona,30868.4,2016,,
298,299,Des Moines North High School,Iowa,30691.8,2016,,
299,300,Commodore Perry High School,Pennsylvania,30565.6,2016,,
300,301,River Forest High School,Indiana,30313.1,2016,,
301,302,Lalumiere High School,Indiana,30297,2016,,
302,303,Orland High School,California,30279.1,2016,,
303,304,Liaoning Province Shiyan High School,China,"30,269.1[2]",2016,,
304,305,Walden Grove High School,Arizona,30230.9,2016,,
305,306,Chowchilla Union High School,California,30228.9,2016,,
306,307,Star Lane Center,Wyoming,30223.2,2016,,
307,308,Lake Crystal Wellcome Memorial High School,Minnesota,30216.8,2016,,
308,309,Dodgeland High School,Wisconsin,"30,161.0[3]",2016,,
309,310,Hutchison High School,Alaska,30126.5,2016,,
310,311,Notre Dame-Cathedral Latin School,Ohio,30120.9,2016,,
311,312,South Mountain High School,Arizona,30025.4,2016,,
0,1,Granada Hills Charter High School,California,55211,2017,,
1,2,El Camino Real Charter High School,California,54017.4,2017,,
2,3,Franklin High School,California,52676.6,2017,,
3,4,Highland Park High School,Texas,52545.5,2017,,
4,5,Marshall High School,California,52188.5,2017,,
5,6,South Pasadena High School,California,51919.7,2017,,
6,7,Edgewood High School,California,50263.8,2017,,
7,8,Dulles High School,Texas,49717.7,2017,,
8,9,James E. Taylor High School,Texas,48846.5,2017,,
9,10,Casa Grande High School,California,48329.7,2017,,
10,11,Friendswood High School,Texas,48186.3,2017,,
11,12,Lubbock High School,Texas,47896.1,2017,,
12,13,Mark Keppel High School,California,47825.7,2017,,
13,14,Woodbridge High School,California,47768.6,2017,,
14,15,West Torrance High School,California,47297.2,2017,,
15,16,J. Frank Dobie High School,Texas,46857.4,2017,,
16,17,Canyon del Oro High School,Arizona,46433.9,2017,,
17,18,Summit High School,Texas,46422,2017,,
18,19,Coppell High School,Texas,46418.3,2017,,
19,20,Chaffey High School,California,46388.9,2017,,
20,21,Oakwood High School,Ohio,46289,2017,,
21,22,Monterey High School,Texas,46287.7,2017,,
22,23,Whitney M. Young Magnet High School,Illinois,46211.5,2017,,
23,24,Wakeland High School,Texas,46201.3,2017,,
24,25,Nimitz High School,Texas,46126.6,2017,,
25,26,Pearland High School,Texas,46114.1,2017,,
26,27,Little Elm High School,Texas,45801.1,2017,,
27,28,Clear Lake High School,Texas,45759.2,2017,,
28,29,Rockwall-Heath High School,Texas,45647.7,2017,,
29,30,Bella Vista High School,California,45540.6,2017,,
30,31,J. J. Pearce High School,Texas,45525.3,2017,,
31,32,Seven Lakes High School,Texas,45130.9,2017,,
32,33,Stockdale High School,California,45046.3,2017,,
33,34,Westminster High School,California,44944.8,2017,,
34,35,Plano Senior High School,Texas,44898.9,2017,,
35,36,Acton-Boxborough Regional High School,Massachusetts,44879.3,2017,,
36,37,Garfield High School,California,44845.7,2017,,
37,38,Hamilton High School,Arizona,44824.9,2017,,
38,39,Hebron High School,Texas,44815.2,2017,,
39,40,Edison High School,California,44725.9,2017,,
40,41,North Penn High School,Pennsylvania,44514.9,2017,,
41,42,Valencia High School,California,44434.3,2017,,
42,43,Centennial High School,Texas,44333.3,2017,,
43,44,Lone Star High School,Texas,44211.9,2017,,
44,45,Shanghai Foreign Language School Affiliated to SISU,China,44121.8,2017,,
45,46,Folsom High School,California,44026.8,2017,,
46,47,Northwest Pennsylvania Collegiate Academy,Pennsylvania,43916.9,2017,,
47,48,Klein High School,Texas,43877.3,2017,,
48,49,McDowell High School,Pennsylvania,43783,2017,,
49,50,Olympian High School,California,43746.5,2017,,
50,51,Plano East Senior High School,Texas,43677.8,2017,,
51,52,Barbers Hill High School,Texas,43667.3,2017,,
52,53,Grant High School,California,43636.4,2017,,
53,54,Shanghai High School International Division,China,43515.7,2017,,
54,55,Calabasas High School,California,43328,2017,,
55,56,Elsinore High School,California,43263.4,2017,,
56,57,Cedar Rapids Jefferson High School,Iowa,43253.3,2017,,
57,58,Rockwall High School,Texas,43252.2,2017,,
58,59,Rancho Cucamonga High School,California,43244.5,2017,,
59,60,Willoughby South High School,Ohio,43133.4,2017,,
60,61,Edward S. Marcus High School,Texas,42989.8,2017,,
61,62,Campolindo High School,California,42896.6,2017,,
62,63,Mount Michael Benedictine High School,Nebraska,"42,830[1]",2017,,
63,64,Lincoln Pius X High School,Nebraska,"42,533.3[6]",2017,,
64,65,Richardson High School,Texas,42466.5,2017,,
65,66,Wilmot Union High School,Wisconsin,42234.6,2017,,
66,67,Redondo Union High School,California,42232.9,2017,,
67,68,Bell High School,California,42191.5,2017,,
68,69,Westwood High School,Arizona,42177.5,2017,,
69,70,St. Helena High School,California,42176,2017,,
70,71,Palisades Charter High School,California,42122.1,2017,,
71,72,Cesar Chavez High School,Arizona,42006.1,2017,,
72,73,Beverly Hills High School,California,41852.3,2017,,
73,74,Mountain View Mesa High School,Arizona,41849.4,2017,,
74,75,Keller High School,Texas,41759.8,2017,,
75,76,Creighton Preparatory School,Nebraska,"41,756[1]",2017,,
76,77,University High School,California,41669.6,2017,,
77,78,Parsippany High School,New Jersey,41668.4,2017,,
78,79,Bishop Hendricken High School,Rhode Island,41619,2017,,
79,80,Lourdes Central Catholic High School,Nebraska,"41,395.6[6]",2017,,
80,81,Lemoore Middle College High School,California,41376.8,2017,,
81,82,Madison Academic High School,Tennessee,"41,248[4]",2017,,
82,83,Westlake High School,California,41191.1,2017,,
83,84,Alhambra High School,California,41097.5,2017,,
84,85,Souderton Area High School,Pennsylvania,41092.2,2017,,
85,86,Watertown High School,Wisconsin,40993.2,2017,,
86,87,Trabuco Hills High School,California,40957.9,2017,,
87,88,Foster High School,Texas,40896.7,2017,,
88,89,Heritage High School,Texas,40786.7,2017,,
89,90,Martinsville High School,Indiana,40763.4,2017,,
90,91,West Valley High School,California,40581.4,2017,,
91,92,Mater Dei High School,California,40526.5,2017,,
92,93,Richard King High School,Texas,40524.5,2017,,
93,94,Van Nuys High School,California,40424.6,2017,,
94,95,Pleasant Grove High School,California,40324,2017,,
95,96,Waukesha West High School,Wisconsin,40307,2017,,
96,97,Vanden High School,California,40283.9,2017,,
97,98,Montgomery High School,Texas,39792.1,2017,,
98,99,Hemet High School,California,39661.3,2017,,
99,100,Alvin High School,Texas,39615.6,2017,,
100,101,BASIS Chandler,Arizona,39590.5,2017,,
101,102,Clear Springs High School,Texas,39436.2,2017,,
102,103,Boulder Creek High School,Arizona,39363.9,2017,,
103,104,New Berlin Eisenhower High School,Wisconsin,39291.2,2017,,
104,105,Beijing National Day School,China,39232.6,2017,,
105,106,Oakdale High School,California,39105.9,2017,,
106,107,MacArthur High School,Texas,39069,2017,,
107,108,Seton Catholic High School,Arizona,39047.1,2017,,
108,109,Hughson High School,California,38907.2,2017,,
109,110,Mountain View Marana High School,Arizona,38884.8,2017,,
110,111,The Colony High School,Texas,38861.7,2017,,
111,112,Lathrop High School,Alaska,38856.9,2017,,
112,113,Clements High School,Texas,38790,2017,,
113,114,Wellesley High School,Massachusetts,38677.2,2017,,
114,115,Irving High School,Texas,38676.8,2017,,
115,116,Bandera High School,Texas,38664.7,2017,,
116,117,Sugar-Salem High School,Idaho,38627,2017,,
117,118,John Paul II High School,Texas,38616.8,2017,,
118,119,Elkins High School,Texas,38556.3,2017,,
119,120,Pasadena Memorial High School,Texas,38487.6,2017,,
120,121,Ketchikan High School,Alaska,38459.5,2017,,
121,122,Oliver Wendell Holmes High School,Texas,38442.3,2017,,
122,123,Harbor Teacher Prep High School,California,38438.3,2017,,
123,124,Bingham High School,Utah,38428.9,2017,,
124,125,Sandpoint High School,Idaho,38392.3,2017,,
125,126,Arlington High School,Texas,38387.2,2017,,
126,127,Scarborough High School,Maine,38329.7,2017,,
127,128,Independence High School,Texas,38288.7,2017,,
128,129,South Central Calhoun High School,Iowa,38183.4,2017,,
129,130,BASIS Peoria,Arizona,38078.4,2017,,
130,131,DaVinci Academy of Science & the Arts,Utah,38023.4,2017,,
131,132,Redlands High School,California,38018.2,2017,,
132,133,West Windsor-Plainsboro High School North,New Jersey,38016,2017,,
133,134,Grundy Center/Dike-New Hartford High School,Iowa,37971.3,2017,,
134,135,Turner College & Career High School,Texas,37944.3,2017,,
135,136,El Paso Coronado High School,Texas,37888.3,2017,,
136,137,John Marshall High School,Texas,37806.8,2017,,
137,138,Chengdu Jiaxiang Foreign Language School-No. 7 Middle School,China,37794.7,2017,,
138,139,The Affiliated High School of South China Normal University,China,37693.4,2017,,
139,140,Reitz Memorial High School,Indiana,37498.2,2017,,
140,141,Lakeview-Fort Oglethorpe High School,Georgia,37397.6,2017,,
141,142,Frisco Liberty High School,Texas,37297.1,2017,,
142,143,Tracy High School,California,37206.7,2017,,
143,144,Hangzhou Foreign Languages School,China,37166.8,2017,,
144,145,Talkington High School,Texas,37111.4,2017,,
145,146,WHBC of Wuhan Foreign Languages School,China,37099.4,2017,,
146,147,Parsippany Hills High School,New Jersey,37067.2,2017,,
147,148,North Hollywood High School,California,37035.9,2017,,
148,149,Martin High School,Texas,36994.6,2017,,
149,150,Pewaukee High School,Wisconsin,36967.9,2017,,
150,150,Brandeis High School,Texas,36967.9,2017,,
151,151,Klein Collins High School,Texas,36962.3,2017,,
152,152,Dreher High School,South Carolina,36960,2017,,
153,153,Ridge Point High School,Texas,36954.1,2017,,
154,154,Johnston High School,Iowa,36916.7,2017,,
155,155,Interior Distance Education of Alaska,Alaska,36758.7,2017,,
156,156,New Berlin West High School,Wisconsin,36734.5,2017,,
157,157,Clarion-Limestone High School,Pennsylvania,36704.4,2017,,
158,158,Poteet High School,Texas,36571.7,2017,,
159,159,Earl Warren High School,Texas,36571.5,2017,,
160,160,Parkview High School,Georgia,36447.4,2017,,
161,161,Legacy High School,Texas,36438.4,2017,,
162,162,Shawnee Mission South High School,Kansas,36429.9,2017,,
163,163,Lake Ridge High School,Texas,36285.7,2017,,
164,164,Tuloso-Midway High School,Texas,36281.3,2017,,
165,165,Shanghai Pinghe School,China,36242.6,2017,,
166,166,Garland High School,Texas,36196,2017,,
167,167,Reedy High School,Texas,36085.5,2017,,
168,168,Carlisle High School,Pennsylvania,36080.9,2017,,
169,169,Basha High School,Arizona,36071.7,2017,,
170,170,Rufus King High School,Wisconsin,35967.4,2017,,
171,171,Maryvale High School,Arizona,35880.5,2017,,
172,172,Westwood Regional High School,New Jersey,35815,2017,,
173,173,Sun Prairie High School,Wisconsin,35773.3,2017,,
174,174,Clear Creek High School,Texas,35669.1,2017,,
175,175,New Richmond High School,Wisconsin,35659.3,2017,,
176,176,Hangzhou No. 2 High School of Zhejiang Province,China,35594.9,2017,,
177,177,Austin Prep High School,Massachusetts,35567.4,2017,,
178,178,Taylor High School,Texas,35519.3,2017,,
179,179,Alice High School,Texas,35419,2017,,
180,180,Estacado High School,Texas,35388,2017,,
181,181,No. 2 High School of East China Normal University,China,35339.4,2017,,
182,182,Lone Peak High School,Utah,35264.1,2017,,
183,183,Bay Port High School,Wisconsin,35212.1,2017,,
184,184,Cedar Rapids Kennedy High School,Iowa,35149.6,2017,,
185,185,LI Texas Garland High School,Texas,35145.5,2017,,
186,186,Kamehameha Schools Hawai'i Campus,Hawaii,35093,2017,,
187,187,Red Mountain High School,Arizona,35075.2,2017,,
188,188,Oak Ridge High School,California,34990.2,2017,,
189,189,Shenzhen Middle School,China,34870.3,2017,,
190,190,Wylie High School,Texas,34860,2017,,
191,191,Lubbock Coronado High School,Texas,34811.7,2017,,
192,192,Indian Hills High School,New Jersey,34797.1,2017,,
193,193,El Paso High School,Texas,34607.4,2017,,
194,194,Kinnelon High School,New Jersey,34594.6,2017,,
195,195,Merced High School,California,34581.8,2017,,
196,196,Townview School for Science & Engineering,Texas,34569.9,2017,,
197,197,Sonoran Science High School,Arizona,34567.8,2017,,
198,198,Seneca Valley High School,Pennsylvania,34537.8,2017,,
199,199,Madison Central High School,Mississippi,34527,2017,,
200,200,Individual Competitors High School,New Jersey,34421.4,2017,,
201,201,Cibola High School,Arizona,34233,2017,,
202,202,Caddo Parish Magnet High School,Louisiana,34149,2017,,
203,203,Alhambra High School,Arizona,34040.8,2017,,
204,204,Frisco High School,Texas,33927,2017,,
205,205,Rutherford High School,New Jersey,33915.1,2017,,
206,206,Marathon High School,Wisconsin,33875.5,2017,,
207,207,Franklin High School,Massachusetts,33785.2,2017,,
208,208,Kingman Academy of Learning,Arizona,33770,2017,,
209,209,"International Department, the Affiliated High School of SCNU",China,33758.5,2017,,
210,210,Park City High School,Utah,33757.4,2017,,
211,211,Slinger High School,Wisconsin,33717.1,2017,,
212,212,St. Peter High School,Minnesota,33659,2017,,
213,213,St. Pius X High School,New Mexico,"33,656[5]",2017,,
214,214,Union High School,Utah,33617.5,2017,,
215,215,El Rancho High School,California,33530.9,2017,,
216,216,Dobson High School,Arizona,33302.8,2017,,
217,217,Hackensack High School,New Jersey,33289.9,2017,,
218,218,Dowling Catholic High School,Iowa,33288.9,2017,,
219,219,Mary Carroll High School,Texas,33238.9,2017,,
220,220,High School Affiliated to Shanghai Jiaotong University,China,33202.1,2017,,
221,221,Higley High School,Arizona,33137.3,2017,,
222,222,James Madison Prep High School,Arizona,33017.4,2017,,
223,223,A.C. Jones High School,Texas,32979.1,2017,,
224,224,Chengdu Foreign Languages School,China,32939.9,2017,,
225,225,Mountain Ridge High School,Arizona,32918,2017,,
226,226,Oxnard High School,California,"32,843.5[3]",2017,,
227,227,Durand High School,Wisconsin,32791.8,2017,,
228,228,Lyndonville Central School,New York,32785,2017,,
229,229,Davis Senior High School,California,32700.6,2017,,
230,230,Green Bay Preble High School,Wisconsin,32641.4,2017,,
231,231,Monmouth Academy,Maine,32454.6,2017,,
232,232,Melrose-Mindoro High School,Wisconsin,32391.4,2017,,
233,233,Waldwick High School,New Jersey,32390.5,2017,,
234,234,Hardaway High School,Georgia,32373.3,2017,,
235,235,New Albany High School,Indiana,32321,2017,,
236,236,Hutchison High School,Alaska,32255.7,2017,,
237,237,St. Johns High School,Arizona,32212.9,2017,,
238,238,Buena High School,Arizona,32201.9,2017,,
239,239,Green Bay East High School,Wisconsin,32183.3,2017,,
240,240,Jian Ping High School,China,32183.2,2017,,
241,241,West Windsor-Plainsboro High School South,New Jersey,32167.2,2017,,
242,242,Seymour High School,Wisconsin,32144.9,2017,,
243,243,Lake Crystal Wellcome Memorial High School,Minnesota,32143.6,2017,,
244,244,Donovan Catholic High School,New Jersey,32136.2,2017,,
245,245,Marana High School,Arizona,32123.7,2017,,
246,246,Sandra Day O'Connor High School,Arizona,32105.8,2017,,
247,247,Roseville High School,California,32079.2,2017,,
248,248,Lebanon Trail High School,Texas,32053.8,2017,,
249,249,Williams Field High School,Arizona,32026.5,2017,,
250,250,Haywood High School,Tennessee,"31,942.0[4]",2017,,
251,251,Southwest High School,California,31900.2,2017,,
252,252,Perry High School,Ohio,31898.7,2017,,
253,253,Villa Rica High School,Georgia,31868.3,2017,,
254,254,Shaw High School,Georgia,31866,2017,,
255,255,Hall-Dale High School,Maine,31857,2017,,
256,256,Upper Lake High School,California,31809.2,2017,,
257,257,Moniteau High School,Pennsylvania,31717.7,2017,,
